symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
OPRK1	0.09276454352586014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.6842100000000002	1	-0.10601213458356318	-0.27685619097280456	0	-1	No data	0	0.5	0.5
IMPDH1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.20700999999999964	0	-0.3452840595697738	0	0	-1	No data	-0.2821375	0.5	-1
NCBP1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	0	0	0	0	0	0.898735	No data	-0.9548814120242691	0	-1	No data	No data	No data	-1	-1
OPRD1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.67742	1	0.643684500827358	-0.17073779750080204	0	-1	No data	0	0.5	1
NCBP2	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	0	0	0	0	0	0.9038449999999998	No data	-0.4859349145063431	0	-1	No data	No data	-0.13461500000000015	-1	-1
OPRM1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.6	0	0.20441257584114725	-0.7318734691478398	0	-1	No data	0	0.5	0.5
IMPDH2	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.9416350000000001	0	-0.3387755102040816	-0.5346493706516381	0	-1	No data	-0.5768474999999998	-1	-1
PDE4B	0.08876670611700735	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1401618227826793	No data	No data	No data	No data	No data	No data	No data	0.11705336896939017	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	-1	No data	-0.26630499999999985	0.5	-1
TLR9	0.08841713133451874	0.04158685288555914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.22286092916813807	No data	0.32603328675911236	1	0	0	1	1	0	0	0	0.2581356867071152	-0.4901107228622764	0	No data	No data	0	0.5	0.5
CNR1	0.08740195643872627	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.13199359703810315	0.017346254648973446	No data	1	1	0	1	1	0	0.8516950000000001	1	-0.44280198565912854	-0.9182577600398064	0	-1	No data	0	0.5	0
