symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PDE6B	0.5630410591987064	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	1	1	0	0.6721299999999999	No data	0.43861003861003867	-0.8648155857321296	0	No data	No data	-0.29449749999999997	1	0
PDE7B	0.562856269271364	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	0.41111000000000003	No data	-0.2997242140099283	0	0	No data	No data	0	-1	0
SLC29A1	0.5626098402796443	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9233987001078238	No data	No data	No data	No data	No data	No data	0.04103532883878443	No data	No data	1	1	0	1	1	0	0	0	-0.4692774407060122	-0.8379533387741994	0	-1	No data	0	-1	-1
PDE6G	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.8275849999999998	No data	0.64434638720353	-0.1802968207566119	0	No data	No data	-0.45402249999999994	1	0
PDE10A	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0	1	-0.7643684500827358	-0.33588290347662475	0	-1	No data	0	1	0
PDE6D	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.9	No data	0.10854936569222273	-0.20623389898958372	0	No data	No data	No data	-1	-1
PDE6H	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5783149999999999	No data	0.9340319911748483	No data	0	No data	No data	-0.5481925000000001	1	0.5
PDE1B	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7947749999999999	1	-0.8182018753447324	-0.17665677748815223	0	No data	No data	0	1	0
PDE4C	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0	No data	0.1384445670159955	-0.05373224667943238	0	No data	No data	-0.2279399999999999	0.5	0
PDE6C	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.34731999999999985	No data	0.012575841147269617	-0.12612758426523707	0	No data	No data	-0.10256499999999988	1	1
PDE9A	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.15683000000000008	1	0.21974627688913406	No data	0	No data	No data	0	0.5	0
PDE8B	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6836150000000003	No data	-0.8454495311638168	-0.1250770947412433	0	No data	No data	-0.03672249999999995	1	0
PDE6A	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.75	No data	-0.14020959735245453	-0.28899529121985484	0	No data	No data	-0.2819775	1	0.5
