gene,free:hom_g2,free:hom_e2,free:v,free:w,free:V_BIN,free:V_BMem,free:V_CD4ET,free:V_CD4NC,free:V_CD8ET,free:V_CD8NC,free:V_NK,free:W_BIN,free:W_BMem,free:W_CD4ET,free:W_CD4NC,free:W_CD8ET,free:W_CD8NC,free:W_NK,free:ct_beta_BIN,free:ct_beta_BMem,free:ct_beta_CD4ET,free:ct_beta_CD4NC,free:ct_beta_CD8ET,free:ct_beta_CD8NC,free:ct_beta_NK,p:free:hom_g2,p:free:hom_e2,p:free:V,p:free:W,p:free:vc_BIN,p:free:vc_BMem,p:free:vc_CD4ET,p:free:vc_CD4NC,p:free:vc_CD8ET,p:free:vc_CD8NC,p:free:vc_NK
ENSG00000055609,0.0323516,0.0588119,-0.038411,-0.00724545,-0.103477,-0.122851,0.097125,-0.00773268,-0.0403247,-0.0529562,-0.038661,-0.491321,1.17713,-0.805424,-0.203586,0.178722,-0.147582,0.241347,0.0393754,1.0428,-0.224278,-0.660248,0.589969,-0.00669719,1.1964,0.118096,0.173217,0.897138,0.0696936,0.804136,0.709894,0.263602,0.592908,0.700183,0.78275,0.671771
ENSG00000261455,0.071415,0.096785,-0.0192035,0.163923,0.0206253,0.00447361,-0.0685827,-0.0414246,-0.0405286,-0.0635983,0.054611,0.801089,0.0844109,0.285888,-0.099996,0.0463034,-0.191382,0.221144,0.138567,-0.595233,-0.4514,-0.480573,-0.141839,-0.386983,1.51248,0.00112962,0.00717215,0.187697,0.0991259,0.416825,0.479497,0.902256,0.970687,0.842355,0.984226,0.224926
ENSG00000133627,-0.000392506,-0.000737683,-0.0087025,0.153264,0.141529,-0.0464405,0.00935919,-0.00893734,-0.0140564,-0.119972,-0.0223996,0.0563419,0.075709,0.349072,0.162243,0.290674,0.288967,-0.15016,-0.455246,-0.594378,-0.198076,-0.362014,-0.0998111,-0.175416,-0.203134,0.506182,0.50303,0.767675,0.875858,0.241955,0.577906,0.484156,0.599721,0.567548,0.968932,0.579945
ENSG00000214106,0.0606696,-0.159406,-0.0427913,0.530931,-0.09114,-0.0657065,-0.107432,0.0113084,-0.0337654,-0.0967227,0.0839187,0.288805,0.935517,1.09945,0.146951,0.253175,0.970666,0.0219516,0.336054,0.0586215,0.31821,0.635416,0.0378748,0.708488,0.309818,0.0402352,0.986261,0.954233,0.258667,0.695542,0.604674,0.727054,0.406457,0.622712,0.813567,0.30301
ENSG00000157212,-0.0167783,-0.0277022,0.0318717,0.264811,-0.243072,0.0951533,0.154239,0.0482022,-0.0555499,0.158447,0.0656829,0.148462,0.768111,0.0295443,-0.0607139,0.145551,-0.243745,1.06647,-0.0592931,0.0481061,-0.00453605,-0.214155,0.582394,0.182468,0.492841,0.716514,0.610289,0.836822,0.894278,0.863892,0.401106,0.269541,0.172748,0.659833,0.203339,0.372598
ENSG00000273344,0.0487383,0.0641093,0.0304906,0.119802,0.134127,0.389424,-0.0239254,-0.0652587,-0.0619793,-0.101422,-0.057531,0.484776,0.831324,-0.814704,0.249019,-0.173277,0.460002,-0.198526,0.409969,-0.116864,0.0443338,0.326241,-1.22176,0.0459537,-1.03987,0.0484391,0.0942284,0.335679,0.000544883,0.219596,0.111784,0.597161,0.98543,0.907386,0.979436,0.883263
ENSG00000186480,0.0512761,0.145609,0.0171312,0.226103,0.229453,0.0209305,-0.0864331,-0.0257208,-0.0136744,-0.0219778,0.0173412,0.401169,-0.388106,0.0143844,-0.253491,0.491669,-0.182466,1.49956,0.311025,-0.240138,-0.620915,-1.07896,0.565284,-0.884624,2.55872,0.0253752,0.000779635,0.49607,7.28512e-09,0.0377556,0.39574,0.975218,0.843633,0.609708,0.752433,0.417533
ENSG00000184863,0.0130597,0.193624,0.00946581,0.080449,0.11358,-0.0146486,0.00435513,-0.0210306,-0.00236529,0.040117,-0.0537473,0.2476,0.538305,0.0405114,-0.144506,-0.0569785,-0.175114,0.113325,0.0923302,0.179548,-0.349023,-0.662717,0.0665612,-0.256533,0.972036,0.257102,1.48066e-05,0.845702,0.377734,0.173888,0.532561,0.482005,0.838666,0.521223,0.21687,0.869406
ENSG00000244291,0.180604,0.161271,0.0283999,0.883564,-0.350224,0.812776,-0.00483424,0.042155,-0.141929,0.0051523,-0.164297,2.98428,2.98412,0.412135,-0.0465846,-0.00787911,0.153932,-0.295065,2.21843,3.49049,-0.0203918,-0.107871,-0.947858,0.14988,-0.952365,0.0113518,0.149021,0.137488,0.530192,0.923045,0.228897,0.509644,0.32359,0.965512,0.485817,0.978661
ENSG00000105983,0.154819,-0.208465,-0.0686723,0.830979,-0.245844,-0.0128654,-0.235554,-0.0132824,-0.0773768,-0.0907755,0.194992,2.45564,2.69599,0.163513,0.036387,-0.460587,0.873611,0.0523001,0.147768,0.66826,0.14562,-0.112768,-0.110462,0.13559,0.377127,0.00943999,0.948365,0.675605,0.233094,0.90983,0.510901,0.875477,0.566889,0.734855,0.741578,0.18605
