symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IFNA1	0.13964272438452846	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	0.9212157434584085	No data	No data	0.5	0	1	0	0	0	0	No data	0.8764478764478765	No data	0	No data	No data	-0.9867725	No data	No data
IFNA2	0.1330467670983751	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	0.7403542312090725	No data	No data	0.5	0	1	0	0	1	0	No data	0.951792608935466	No data	0	No data	No data	-0.6542549999999998	No data	No data
IFNA17	0.13302942615565758	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	0.7397837405286979	No data	No data	0.5	0	1	0	0	0	0	No data	0.8978488692774407	No data	0	No data	No data	-0.8941800000000001	No data	No data
BTK	0.12161907375071357	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18352281432270104	No data	No data	No data	No data	No data	No data	0.11702667854023706	No data	0.27861468454540594	1	1	0	1	1	1	0.9165399999999998	1	No data	-0.5995433845199712	0	-1	-1	0	0.5	0
SYK	0.11664604088773342	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17309140765330877	No data	No data	No data	No data	No data	No data	0.06129968875917179	No data	0.34840514011122	1	1	0	1	1	1	0.5748049999999999	1	-0.8849420849420849	-0.951777548295378	0	-1	No data	0	0.5	0
IL6	0.11621291519584673	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14353921610274387	No data	No data	No data	No data	No data	No data	0.7763830853218338	No data	No data	1	0	1	1	1	0	0	No data	-0.1521235521235521	-0.9761123172086772	0	-1	No data	No data	0.5	0
IFNA5	0.11521054504084548	0.030713922541927577	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.905350248207391	No data	0	No data	No data	-0.6693124999999999	No data	No data
CD28	0.1141047288187434	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	0.383663437676034	No data	0.5437012201472933	0.5	1	0	0	0	0	0	No data	-0.5261996690568119	-0.2597771164365384	0	No data	No data	0	0.75	0
CD38	0.11254743451963702	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14353921610274387	No data	No data	No data	No data	No data	No data	0.6698215302018041	No data	0.36457609932768914	1	1	0	1	1	1	0	No data	0.5023717595146167	-0.291813927453326	0	-1	No data	0	0.5	0
IFNA13	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	No data	No data	No data	0	No data	0.9055708769994484	No data	No data	No data	No data	-0.973685	No data	No data
