symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PPIA	0.4933993721111514	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8109965709805028	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	1	1	1	0	0.7878799999999998	No data	-0.7628240485383342	-0.8842997159954985	-1	No data	No data	-0.6515149999999998	-1	-1
TEC	0.45156107402421586	0.7047880034861251	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7464350000000003	No data	-0.13557639271924982	0	0	No data	No data	0	-1	0
NOS2	0.44666838403082754	0.6886906301806975	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	0.36221714025439045	No data	No data	0.75	0	0	1	1	1	0.02862000000000009	0	-0.19095421952564806	-0.9792351531703025	0	-1	No data	0	0.75	0.5
MIF	0.4440902471046695	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	0.7279221664621607	No data	No data	0.75	0	1	1	1	1	0.39130499999999985	1	0.9884169884169884	-0.790442682486255	0	No data	No data	0	-1	-1
CD28	0.44191524459276904	0.6968752467471899	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.46573975945100204	No data	No data	0.5	1	0	0	0	0	0	No data	-0.5261996690568119	-0.2597771164365384	0	No data	No data	0	0.75	0
TNFSF11	0.43500342307004686	0.583824603308073	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.46945767148897405	No data	No data	No data	No data	No data	No data	0.5034014853382419	No data	0.25375031492309064	1	1	1	1	1	0	0.1798099999999998	No data	-0.5652509652509652	-0.6689671706490188	0	No data	No data	0	0.5	0.5
IL17F	0.412325074903464	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6514234668243427	No data	No data	No data	No data	No data	No data	0.5363994453997134	No data	No data	1	0	1	0	0	0	0	No data	0.2475455046883619	0	0	No data	No data	0	0.5	1
LTA	0.40310887889867414	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.17465293511588148	No data	No data	No data	No data	No data	No data	0.22647335109936562	No data	0.3896346690659081	0.5	0	1	0	1	0	0	No data	-0.3494760066188638	-0.9316131187576032	0	-1	No data	0	0.75	0.5
CSF2	0.3926992280826088	0.16343286351414332	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5862020016802818	No data	No data	No data	No data	No data	No data	0.8319840517607306	No data	No data	0.75	0	1	0	0	0	0	No data	-0.5455046883618312	-0.907630548211091	0	No data	No data	No data	0.5	1
SYK	0.3892974268602586	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.626565426331568	No data	No data	No data	No data	No data	No data	0.24524762385023666	0.06916045949629798	No data	1	1	0	1	1	1	0.5748049999999999	1	-0.8849420849420849	-0.951777548295378	0	-1	No data	0	0.5	0
FLT3	0.3811504045080883	0.5997229387907081	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	0.40971496105035204	1	0	0	1	1	0	0.30513499999999993	1	-0.7224489795918367	-0.8755056130719108	0	-1	-1	0	0.5	0.5
HRH2	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.13507000000000033	1	-0.7637065637065636	-0.25811693898992794	0	-1	No data	0	0.5	0
IL17RA	0.36921106675715154	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5972534960306097	No data	No data	No data	No data	No data	No data	0.2014134688680478	No data	No data	1	0	1	0	0	0	0	No data	-0.1246552675124104	-0.7890984969708023	0	No data	No data	0	0.5	-1
MAPK14	0.36690245153622997	0.5536042633739446	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19279512702586662	No data	No data	No data	No data	No data	No data	0.0775632422474744	No data	No data	0.75	0	0	1	1	1	0.7777799999999999	1	-0.6155543298400441	-0.9328831304876023	0	No data	No data	-0.35416750000000013	-1	-1
TNFSF13B	0.33632010131615947	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5387668552499801	No data	No data	No data	No data	No data	No data	0.26247967979928044	0.05985853184978092	No data	1	1	1	0	0	0	0	No data	-0.7381136238279096	0	0	No data	No data	0	0.5	0
FKBP1A	0.3319872652677562	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5454490211904267	No data	No data	No data	No data	No data	No data	No data	0.012896427044727394	No data	1	0	0	1	1	1	0.86111	1	0.31991174848317705	-0.9406943921665206	0	No data	No data	-0.88426	-1	-1
SLC6A4	0.32748881567894406	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5386942345502975	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6269849999999998	1	-0.770876999448428	-0.9473079979499779	0	-1	No data	0	0.75	0.5
FDPS	0.3233823728491141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0	1	-0.3751792608935466	No data	-1	-1	No data	No data	0.5	-1
PTGER3	0.3117269937929207	0.34886270425471805	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	0	-0.31991174848317705	-0.8287914604985349	0	-1	No data	0	0.5	0
PDE2A	0.31037568457357256	0.47086006182432844	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1587374860430344	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.6652500000000003	1	-0.6162162162162161	-0.7762582462289813	0	No data	No data	0	0.5	-1
PPARG	0.2989640634105141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4732572389740467	No data	No data	No data	No data	No data	No data	0.3594795337835797	0.024388532028953042	No data	1	0	0	1	1	1	0.9157899999999998	1	-0.5346938775510204	-0.9812084574342594	0	-1	-1	0	0.5	0
ADORA3	0.2966131843835757	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.48241790140676466	No data	No data	No data	No data	No data	No data	0.10976528290209826	No data	No data	1	1	0	1	1	0	0	0	0.39437396580253714	-0.8270419443463802	0	-1	No data	0	0.5	0
CD2	0.29476302192963794	0.4519300197170876	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.07375382662690987	0.07178042248037819	No data	1	1	0	0	1	0	0	No data	0.3050193050193051	No data	0	No data	No data	0	1	0
