symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SCN11A	0.40052330176859335	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0	No data	-0.23154991726420293	-0.28341503819740543	0	No data	No data	0	0.5	0.5
SCN5A	0.40052330176859335	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6588304184327065	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7196049999999999	No data	-0.8251516822945395	-0.9766558707171413	0	-1	No data	-0.10173750000000012	1	0.5
ADRA1A	0.3965611894846858	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.643347591420098	No data	No data	No data	No data	No data	No data	0.17930906322111875	No data	No data	1	0	0	1	1	0	0.5922750000000001	0	0.553888582460011	-0.5954246115931805	0	-1	No data	0	0.5	0
ADRA1D	0.3936373095139376	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.643347591420098	No data	No data	No data	No data	No data	No data	0.07757811566609489	0.012464408031556774	No data	1	1	0	1	1	0	0.25699499999999986	1	0.8319911748483177	-0.8228558891683743	0	No data	No data	0	0.5	0
ADRA1B	0.3911108143935355	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.643347591420098	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7692300000000003	0	0.6467733039161612	-0.9322875257706217	0	-1	No data	0	0.5	0
ACHE	0.3902034550843738	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6343222859632427	No data	No data	No data	No data	No data	No data	0.1506553658378213	No data	No data	1	0	0	1	1	1	0.4218249999999998	0	-0.6356315499172642	-0.9157392357022395	0	-1	No data	0	0.75	0
GABRB2	0.3897670333933604	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6058199267865807	No data	No data	No data	No data	No data	No data	0.7063449385137741	No data	No data	1	1	0	1	1	0	0.6191400000000001	No data	-0.7652509652509653	-0.2859359608929937	0	No data	No data	-0.33105499999999993	1	0.5
NDUFA13	0.3890337225967564	0.4049467943364866	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5386942345502975	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0	0.1666649999999997	No data	0.5127413127413127	-0.5786753726513527	-1	No data	No data	No data	-1	-1
HRH1	0.3850013970125412	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6106833731674737	No data	No data	No data	No data	No data	No data	0.452293811358009	No data	No data	1	1	0	1	1	0	0	0	0.19106453392167677	-0.812605562087891	0	-1	No data	0	-1	0
CACNA2D1	0.3841818490255306	0.3976103632791294	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	0.02735688589252295	No data	No data	1	1	0	1	1	0	0.7891849999999998	No data	-0.7554329840044126	-0.7040638983698507	0	No data	No data	0	0.5	0
